Time,CPU Usage %,Temperature C
2018-11-26 15:15:52,21.5,49.9
2018-11-26 15:16:04,97.2,54.8
2018-11-26 15:16:16,92.4,58
2018-11-26 15:16:28,84.4,58.5
2018-11-26 15:16:39,83.8,60.1
2018-11-26 15:16:50,68.4,60.1
2018-11-26 15:17:02,96.9,63.9
2018-11-26 15:17:14,92.4,63.9
2018-11-26 15:17:26,81.8,64.5
2018-11-26 15:17:37,74.3,63.4
2018-11-26 15:17:48,70.3,63.4
2018-11-26 15:18:01,65.4,63.9
2018-11-26 15:18:13,93,65.5
2018-11-26 15:18:24,90.7,65
2018-11-26 15:18:36,72.4,66.1
2018-11-26 15:18:48,86.4,65
2018-11-26 15:19:00,89.7,66.6
2018-11-26 15:19:12,51.2,63.4
2018-11-26 15:19:23,51.5,63.9
2018-11-26 15:19:35,82,65.5
2018-11-26 15:19:46,69.8,65.5
2018-11-26 15:19:58,83.2,67.1
2018-11-26 15:20:09,79.1,67.7
2018-11-26 15:20:21,90.9,68.8
2018-11-26 15:20:32,84.6,69.3
2018-11-26 15:20:44,82.6,69.8
2018-11-26 15:20:55,86.8,69.8
2018-11-26 15:21:07,71.5,68.8
2018-11-26 15:21:18,80.2,69.8
2018-11-26 15:21:30,87.8,70.4
2018-11-26 15:21:41,82.4,69.8
2018-11-26 15:21:54,76.6,69.8
2018-11-26 15:22:05,75.3,69.8
2018-11-26 15:22:16,79,70.4
2018-11-26 15:22:28,83.8,70.9
2018-11-26 15:22:39,82.8,70.9
2018-11-26 15:22:51,82.4,70.9
2018-11-26 15:23:03,88.2,71.4
2018-11-26 15:23:14,80.8,71.4
2018-11-26 15:23:26,84.2,72
2018-11-26 15:23:37,79.6,70.9
2018-11-26 15:23:49,62.3,69.8
2018-11-26 15:24:01,79.9,70.9
2018-11-26 15:24:12,77.5,70.9
2018-11-26 15:24:24,84.2,71.4
2018-11-26 15:24:35,86.1,72
2018-11-26 15:24:47,57,68.8
2018-11-26 15:24:58,23.9,63.9
